IP,Name,What is it,Notes,,IP,Name,What is it,Notes,
10.5.1.1,Gateway,,,,10.5.10.1,Gateway,,,
10.5.1.2,,,,,10.5.10.2,Sophos Firewall #1,Firewall,???,
10.5.1.3,Sophos Management Port,,,,10.5.10.3,Sophos Firewall #2 - WAN,Firewall,??? 02/01/2024 - temporarily used for SOPHOS Firewall #1 WAN to register,
10.5.1.4,Fileserver01,server,,,10.5.10.4,HR Wifi Access Point,WiFi AP,,
10.5.1.5,Fileserver,server,,,10.5.10.5,HR Wifi Access Point,WiFi AP,,
10.5.1.6,DCSERVER2016-VM,server,,,10.5.10.6,HR Wifi Access Point,WiFi AP,,
10.5.1.7,CCLS-MyPC,server,"PC Management server ""CCLS-MyPC""",,10.5.10.7,Itinerant Baby,Louie Router,Used with STEM mic system,
10.5.1.8,DNS,,,,10.5.10.8,,,,
10.5.1.9,ItivaServer - Host,,,,10.5.10.9,,,,
10.5.1.10,,,was DansGuardian,,10.5.10.10,Door Acesss System,Panel,,
10.5.1.11,TS Ricoh IM C2510,Printer,Tech SVS Printer,,10.5.10.11,Milestone/Huskey,Security Camera Server,,
10.5.1.12,HP Circ Counter B&W,Printer,hp LaserJet 2420,,10.5.10.12,,,,
10.5.1.13,Canon ecolor+ Series 2 ,Printer,Canon Plotter Printer,,10.5.10.13,,,,
10.5.1.14,HP Printer ,Printer,HP LaserJet P3015 Printers,,10.5.10.14,,,,
10.5.1.15,Ref Office Printer,Printer,HP LaserJet 400 M401n,,10.5.10.15,,,,
10.5.1.16,VT1F-SPM-16,Sam,Sam Print Man,,10.5.10.16,HP Color LaserJet CP5225dn,Printer,,
10.5.1.17,,,,,10.5.10.17,HP OfficeJet Pro 9020,Printer - Maintenance Area ,for Bill Weaver ,
10.5.1.18,HP Ploter Printer,Printer,HP Designjet T1100ps 24in,,10.5.10.18,HP L-Jet 4050n,Printer,,
10.5.1.19,YS Ricoh IM C2510,Printer,Youth Services Color MFP,,10.5.10.19,pdqserver-vm,Server,PDQ Server,
10.5.1.20,YS Ricoh P C600,Printer,Youth Services Color Printer,,10.5.10.20,appserver-host,Server,,
10.5.1.21,HP Maintenance Printer,Printer,HP LaserJet M402dne,,10.5.10.21,Test Server,Server,Passbolt and Koha Sandbox,
10.5.1.22,HP Ref Desk Printer,Printer,HP L-Jet P2055dn,,10.5.10.22,swsserver,server,,
10.5.1.23,HP Printer,Printer,HP L-Jet P3015,,10.5.10.23,,,,
10.5.1.24,Lit Printer,Printer,HP OfficeJet Pro 9020 series,,10.5.10.24,,,Formerly Old Test Server callled AppServer3-Host,
10.5.1.25,Business Office MFP,Printer,HP OfficeJet Pro 9020 series,,10.5.10.25,CMS Test Site,VM,,
10.5.1.26,HP Color Printer,Printer,HP Color LaserJet CP4025 Printers,,10.5.10.26,,,,
10.5.1.27,Oasis Ricoh P C600,Printer,Oasis Color Printer,,10.5.10.27,Louie/Masqualero Router,,,
10.5.1.28,HP OfficeJet Pro 9020,Printer,Lindas Office Printer,,10.5.10.28,,,,
10.5.1.29,Oasis Ricoh IM C2510,Printer,Oasis Color MFP,,10.5.10.29,VTIIIWIFI,Louie Router,for HR/PR,
10.5.1.30,Dell Cicr Area B&W,Printer,Dell B2360dn Laser Printer,,10.5.10.30,MDTServer-VM,Server,MDT Server,
10.5.1.31,Ricoh MFP,Printer,IM C2500 Admin area,,10.5.10.31,MDT Imaging IP,Reserved IP,,
10.5.1.32,Brother MFC-8710DW,Printer,Ref Desk Brother B&W,,10.5.10.32,MDT Imaging IP,Reserved IP,,
10.5.1.33,VT2F-SCANPRO-33,PC,,,10.5.10.33,MDT Imaging IP,Reserved IP,,
10.5.1.34,VO0123-SP,Scan pro microfiche PC,,,10.5.10.34,MDT Imaging IP,Reserved IP,,
10.5.1.35,VO0223-SP,Scan pro microfiche PC,,,10.5.10.35,MDT Imaging IP,Reserved IP,,
10.5.1.36,HP ILL Printer,Printer,HP LaserJet M402dne,,10.5.10.36,MDT Imaging IP,Reserved IP,,
10.5.1.37,HP OfficeJet Pro 9020,Printer,Jenn's Printer,,10.5.10.37,MDT Imaging IP,Reserved IP,,
10.5.1.38,,,,,10.5.10.38,MDT Imaging IP,Reserved IP,,
10.5.1.39,,,,,10.5.10.39,,,,
10.5.1.40,VT1F-TEEND-40,PC - Staff,Diana Fults,,10.5.10.40,WebServer1-Host,Server,,
10.5.1.41,VT3F-LITP-41,PC - Staff,pub-lit,,10.5.10.41,Test Content Filter,VM,,
10.5.1.42,,,,,10.5.10.42,VMServer01-Host,Server,Exchnage VM's Host server,
10.5.1.43,,,,,10.5.10.43,VMServer02-Host,Server,"SAM, PDQ, DC, VT Dansguardian",
10.5.1.44,VL0023,PC - Staff Laptop,LVA Laptop,,10.5.10.44,WSUSServer-VM,Server,WSUS Server,
10.5.1.45,VM0219,PC - Staff - Maintenance,Bill Weaver,,10.5.10.45,,,,
10.5.1.46,VT3F-LVA-46,PC - Staff,Susan Mulholland,,10.5.10.46,,,,
10.5.1.47,VT1F-MAINT-47T,PC - Staff,Kevin Coleman,,10.5.10.47,,,Formerly old Koha-Test VM,
10.5.1.48,VT1F-CHD01-48,PC - Pub,pub-child,,10.5.10.48,,,,
10.5.1.49,VT1F-CIRC-49X,PC - Staff,,,10.5.10.49,,,,
10.5.1.50,,,,,10.5.10.50,,,Formerly 1st Fl Cisco Switch,
10.5.1.51,VT1F-CIRC-51,PC - Staff,Eric Spiecker,,10.5.10.51,,,Formerly 1st Fl Cisco Switch,
10.5.1.52,,,,,10.5.10.52,1st Fl Cisco Switch,,,
10.5.1.53,VT3F-TECH-53T,PC - Staff,Mary Ann Slotwinksi,,10.5.10.53,,,,
10.5.1.54,VT3F-BOF-54,PC - Staff,Mary Pat Condon,,10.5.10.54,,,,
10.5.1.55,VT2F-REFO-55,PC - Staff,Mindy Johnson,,10.5.10.55,,,,
10.5.1.56,VT3F-WUG-56,PC - Staff,,,10.5.10.56,,,,
10.5.1.57,,,,,10.5.10.57,,,,
10.5.1.58,VB0222,PC - Staff,Joanne McCarty,,10.5.10.58,,,,
10.5.1.59,VT1F-BOM-59,PC - Staff,Building Ops manager PC,,10.5.10.59,,,,
10.5.1.60,VT1F-CIRC-60T,PC - Staff,Linda Calascone,,10.5.10.60,,,Formerly 2nd Fl Cisco Switch,
