IP,Name,Type,Notes
10.5.50.1,Gateway,,
10.5.50.2,,,
10.5.50.3,,,
10.5.50.4,,,
10.5.50.5,,,
10.5.50.6,,,
10.5.50.7,,,
10.5.50.8,HT-CIRC01-8,PC - Staff,
10.5.50.9,,,
10.5.50.10,HT-CIRC03-10,PC - Staff,
10.5.50.11,,,
10.5.50.12,HT-CIRC02-12,PC - Staff,
10.5.50.13,HT Circ B&W,Printer,HP LaserJet 400 M401n
10.5.50.14,HT Pubilc Color,Printer,HT RICOH IM C2510
10.5.50.15,HT Pubilc B&W,Printer,HT RICOH P C600
10.5.50.16,,,
10.5.50.17,,,
10.5.50.18,,,
10.5.50.19,,,
10.5.50.20,,,
10.5.50.21,HT-STF-21T,PC - Staff,
10.5.50.22,HT-STF02-22,PC - Staff,
10.5.50.23,HT-STF-23,PC - Staff,
10.5.50.24,HT-STF04-24,PC - Staff,
10.5.50.25,,,
10.5.50.26,,,
10.5.50.27,,,
10.5.50.28,,,
10.5.50.29,,,
10.5.50.30,HT-SUS-30,PC - SAM,
10.5.50.31,HT-PUB01-31,PC - Pubilc,
10.5.50.32,,,
10.5.50.33,,,
10.5.50.34,HT-PUB04-34,PC - Pubilc,
10.5.50.35,,,
10.5.50.36,HT-PUB06-36,PC - Pubilc,
10.5.50.37,HT-PUB07-37,PC - Pubilc,
10.5.50.38,HT-PUB08-38,PC - Pubilc,
10.5.50.39,,,
10.5.50.40,,,
10.5.50.41,,,
10.5.50.42,,,
10.5.50.43,,,
10.5.50.44,,,
10.5.50.45,,,
10.5.50.46,,,
10.5.50.47,,,
10.5.50.48,,,
10.5.50.49,,,
10.5.50.50,,,
10.5.50.51,HT-MGR-51T,PC - Staff - Manager,
10.5.50.52,,,
10.5.50.53,,,
10.5.50.54,,,
10.5.50.55,,,
10.5.50.56,,,
10.5.50.57,,,
10.5.50.58,,,
10.5.50.59,,,
10.5.50.60,,,
10.5.50.61,,,
10.5.50.62,,,
10.5.50.63,,,
10.5.50.64,,,
10.5.50.65,,,
10.5.50.66,,,
10.5.50.67,,,
10.5.50.68,,,
