Computer Name	DNS Server
SC-CIRC-204T	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-CIRC-207	"10.5.1.4	10.5.1.8"
SC-MGR-100	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-PUB03-183	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-PUB04-184	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-PUB09-189	"10.5.1.4	10.5.1.8"
SC-STAFF-103X	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-STF-101	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-STF-112X	"10.5.1.4	10.5.1.8	209.212.30.14"
SC-TEEN03-93	"10.5.1.4	10.5.1.8	209.212.30.14"
SCSERVER01	
SCSERVER01	"10.5.1.4	10.5.1.8"
VT2F-SCAN-79	"10.5.1.4	10.5.1.8	209.212.30.14"

