"Id","ProcessName"
"7332","Adobe Crash Processor"
"25260","Adobe Desktop Service"
"24784","AdobeIPCBroker"
"28596","AdobeNotificationClient"
"6400","AdobeUpdateService"
"8876","AggregatorHost"
"15496","ai"
"16196","ai"
"8424","ApplicationFrameHost"
"6288","armsvc"
"48320","backgroundTaskHost"
"34840","CCXProcess"
"1760","chrome"
"2268","chrome"
"2716","chrome"
"5784","chrome"
"6104","chrome"
"6180","chrome"
"9472","chrome"
"11236","chrome"
"15308","chrome"
"15860","chrome"
"16936","chrome"
"17908","chrome"
"19188","chrome"
"22660","chrome"
"22992","chrome"
"24168","chrome"
"24980","chrome"
"25404","chrome"
"26200","chrome"
"26220","chrome"
"26256","chrome"
"26396","chrome"
"27080","chrome"
"27096","chrome"
"27320","chrome"
"29460","chrome"
"30040","chrome"
"30128","chrome"
"30144","chrome"
"30200","chrome"
"30928","chrome"
"31676","chrome"
"33112","chrome"
"33676","chrome"
"33708","chrome"
"33904","chrome"
"34060","chrome"
"34196","chrome"
"35312","chrome"
"35588","chrome"
"35604","chrome"
"35692","chrome"
"36568","chrome"
"36828","chrome"
"38100","chrome"
"38884","chrome"
"39100","chrome"
"40536","chrome"
"40936","chrome"
"42648","chrome"
"43208","chrome"
"43620","chrome"
"43740","chrome"
"44128","chrome"
"44860","chrome"
"46632","chrome"
"47236","chrome"
"47352","chrome"
"47604","chrome"
"47988","chrome"
"49104","chrome"
"5356","conhost"
"5708","conhost"
"7188","conhost"
"7652","conhost"
"13352","conhost"
"13424","conhost"
"13508","conhost"
"14164","conhost"
"14276","conhost"
"18928","conhost"
"26684","CoreSync"
"6804","CptService"
"24192","Creative Cloud"
"26516","Creative Cloud Helper"
"12852","Creative Cloud UI Helper"
"17000","Creative Cloud UI Helper"
"24312","Creative Cloud UI Helper"
"25588","Creative Cloud UI Helper"
"24688","CrossDeviceService"
"1608","csrss"
"1752","csrss"
"22480","ctfmon"
"11496","dasHost"
"30000","DataExchangeHost"
"2660","DCCABIServer"
"2932","DDVCollectorSvcApi"
"3352","DDVDataCollector"
"15548","DDVRulesProcessor"
"14200","Dell.CoreServices.Client"
"13984","Dell.D3.WinSvc"
"14168","Dell.Optimizer.DthProxy"
"6376","Dell.TechHub"
"13436","Dell.TechHub.Analytics.SubAgent"
"14252","Dell.TechHub.DataManager.SubAgent"
"14244","Dell.TechHub.Diagnostics.SubAgent"
"13504","Dell.TechHub.Instrumentation.SubAgent"
"18776","Dell.TechHub.Instrumentation.UserProcess"
"6392","Dell.TrustedDevice.Service"
"14220","Dell.Update.SubAgent"
"14180","DellOptimizer"
"2552","DellSupportAssistRemedationService"
"29528","DFConsole"
"11100","DFLocker64"
"3196","DFServ"
"6440","DFServerService"
"13052","dllhost"
"15968","dllhost"
"3008","DPM"
"7556","DPMCrashHandler"
"17916","DPMCrashHandler"
"6452","DPMService"
"5664","dwm"
"18388","explorer"
"13168","FileCoAuth"
"30108","FileSyncHelper"
"6424","FNPLicensingService"
"1944","fontdrvhost"
"2000","fontdrvhost"
"19736","FrzState2k"
"3756","hmpalert"
"15244","IDBWM"
"14952","IDBWMService"
"0","Idle"
"15108","IntelConnect"
"14928","IntelConnectivityNetworkService"
"15312","IntelConnectService"
"2528","IntelCpHDCPSvc"
"8780","ipf_helper"
"6588","ipf_uf"
"39056","ISLAlwaysOn"
"6724","ISLAlwaysOnService"
"14108","ISLAlwaysOnTray"
"6524","jhi_service"
"30272","LockApp"
"1828","LsaIso"
"1844","lsass"
"48788","McsAgent"
"45884","McsClient"
"4052","Memory Compression"
"22912","Microsoft.SharePoint"
"6468","MicrosoftSearchInBing"
"20828","mobsync"
"6576","mongod"
"1424","ms-teams"
"28728","ms-teams"
"14608","msdtc"
"852","msedgewebview2"
"10552","msedgewebview2"
"10564","msedgewebview2"
"13808","msedgewebview2"
"14580","msedgewebview2"
"18116","msedgewebview2"
"20180","msedgewebview2"
"21440","msedgewebview2"
"23540","msedgewebview2"
"25072","msedgewebview2"
"27448","msedgewebview2"
"32352","msedgewebview2"
"32560","msedgewebview2"
"34688","msedgewebview2"
"36948","msedgewebview2"
"37500","msedgewebview2"
"38256","msedgewebview2"
"38736","msedgewebview2"
"40636","msedgewebview2"
"42664","msedgewebview2"
"47452","node"
"3852","NVDisplay.Container"
"4120","NVDisplay.Container"
"6384","OfficeClickToRun"
"38212","olk"
"6548","OneApp.IGCC.WinService"
"20408","OneDrive"
"25360","ONENOTEM"
"25416","OpenConsole"
"21796","PhoneExperienceHost"
"26584","pwsh"
"30672","RdClient.Windows"
"332","Registry"
"6500","rorchcdk"
"6508","RstMwService"
"6680","RtkAudUService64"
"10556","RtkAudUService64"
"11108","RtkAudUService64"
"8184","RuntimeBroker"
"17368","RuntimeBroker"
"18948","RuntimeBroker"
"18988","RuntimeBroker"
"19348","RuntimeBroker"
"21332","RuntimeBroker"
"25048","RuntimeBroker"
"27004","RuntimeBroker"
"36580","RuntimeBroker"
"37100","RuntimeBroker"
"10704","SDApiService"
"18296","SearchHost"
"8068","SearchIndexer"
"268","Secure System"
"22500","SecurityHealthService"
"22464","SecurityHealthSystray"
"2920","SEDService"
"1804","services"
"5156","ServiceShell"
"20328","ShellExperienceHost"
"9652","sihost"
"1216","smss"
"20600","Sophos UI"
"25512","SophosFileScanner"
"44904","SophosFileScanner"
"4936","SophosFS"
"8040","SophosHealth"
"15816","SophosLiveQueryService"
"10004","SophosNetFilter"
"6604","SophosNtpService"
"22540","SophosOsquery"
"5220","spoolsv"
"7000","SSPService"
"25480","StarMicronicsCloudUploader"
"17904","StartMenuExperienceHost"
"25384","SupportAssistAgent"
"1544","svchost"
"1764","svchost"
"1952","svchost"
"2044","svchost"
"2100","svchost"
"2120","svchost"
"2132","svchost"
"2148","svchost"
"2156","svchost"
"2164","svchost"
"2176","svchost"
"2188","svchost"
"2248","svchost"
"2256","svchost"
"2312","svchost"
"2332","svchost"
"2344","svchost"
"2360","svchost"
"2564","svchost"
"2588","svchost"
"2652","svchost"
"2680","svchost"
"2764","svchost"
"2872","svchost"
"3032","svchost"
"3288","svchost"
"3392","svchost"
"3400","svchost"
"3456","svchost"
"3584","svchost"
"3724","svchost"
"3764","svchost"
"3808","svchost"
"3884","svchost"
"3928","svchost"
"3940","svchost"
"3948","svchost"
"3956","svchost"
"4008","svchost"
"4016","svchost"
"4520","svchost"
"4528","svchost"
"4948","svchost"
"4960","svchost"
"5124","svchost"
"5164","svchost"
"5180","svchost"
"5276","svchost"
"5476","svchost"
"5536","svchost"
"5572","svchost"
"5752","svchost"
"5800","svchost"
"5860","svchost"
"6268","svchost"
"6300","svchost"
