
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     10     7.80      13.25       0.06    7332   1 Adobe Crash Processor
    111   142.98      96.69      49.97   25260   1 Adobe Desktop Service
     22    10.27      12.74      18.38   24784   1 AdobeIPCBroker
     31    34.54       6.36       0.02   28596   1 AdobeNotificationClient
     17     7.14      13.15       0.31    6400   0 AdobeUpdateService
     10     5.32       9.38       0.62    8876   0 AggregatorHost
     19    25.70      18.72       0.11   15496   1 ai
     20    64.08      20.04       0.39   16196   1 ai
     33    30.32      35.44       0.30    8424   1 ApplicationFrameHost
     11     5.08       7.43       0.00    6288   0 armsvc
     11     7.69      13.92       0.08   40604   0 audiodg
     21     8.57       3.88       0.02   48320   1 backgroundTaskHost
      5     3.75       4.41       0.00   34840   1 CCXProcess
     52    46.24      84.07       0.75    1760   1 chrome
     63    84.66     128.12       4.42    2268   1 chrome
     88   209.04     225.55      11.45    2716   1 chrome
     40    27.05      47.80       0.06    5784   1 chrome
     79   130.29     166.65      12.39    6104   1 chrome
     46   159.84     206.33      54.03    6180   1 chrome
     31    94.09     110.73       0.64    9472   1 chrome
     55   163.56      97.33       6.47   11236   1 chrome
     58   201.50     198.37       2.94   15308   1 chrome
     47   106.84     146.79       0.81   15860   1 chrome
    100   234.25     223.97       7.77   16936   1 chrome
     64    98.18     105.87       4.44   17908   1 chrome
     59    73.12     139.84       0.31   19188   1 chrome
     80    76.62     109.89      12.80   22992   1 chrome
     25    10.28      17.19       0.02   24168   1 chrome
    149   832.38     293.26     251.94   24980   1 chrome
     47    35.70      53.17       0.59   25404   1 chrome
    180   403.74     473.54     487.44   26200   1 chrome
     48    18.78      25.55       2.31   26220   1 chrome
     24    10.00       9.09       0.58   26256   1 chrome
    141    65.31      90.20      81.89   26396   1 chrome
     50    52.16      82.43      21.28   27080   1 chrome
     61    94.96     115.94      31.42   27096   1 chrome
     63   520.28      59.70       0.89   27320   1 chrome
     49    46.60      96.95       0.09   29460   1 chrome
     34    16.98      26.08       0.09   30040   1 chrome
     63    55.76      40.44       1.41   30128   1 chrome
     33    16.78      23.52       3.89   30144   1 chrome
     87   315.18     335.24     111.00   30200   1 chrome
     57    31.62      72.84       0.05   30928   1 chrome
     78   330.72     359.18      76.25   31676   1 chrome
     41   110.83     111.17       0.47   33112   1 chrome
     59   390.58     435.24      27.56   33676   1 chrome
     69   171.62     119.42       1.89   33708   1 chrome
     58    40.67      76.85       1.62   33904   1 chrome
     49    49.45      67.89       0.23   34060   1 chrome
     35    17.00      26.06       0.06   34196   1 chrome
     89   347.06     196.45      60.62   35312   1 chrome
     90   338.22     362.68      57.38   35588   1 chrome
     64   172.19     205.34      26.16   35604   1 chrome
     38    60.80     102.01       0.59   35692   1 chrome
     74   212.21     261.89      18.78   36568   1 chrome
     38    68.98     133.23       0.31   36828   1 chrome
     53    19.13      26.08       0.05   38100   1 chrome
     58   104.44     174.33       0.67   38884   1 chrome
     46   187.74     224.15      25.36   39100   1 chrome
     65   232.86     149.20       6.45   40536   1 chrome
     36    89.35      98.90       0.33   40936   1 chrome
     46   140.24     213.01       0.64   42648   1 chrome
     59    36.22      80.82       0.12   43208   1 chrome
     61   128.36     185.55       1.11   43620   1 chrome
     40    82.95     106.00       1.81   43740   1 chrome
     46   111.54     106.48       7.27   44128   1 chrome
     59    96.23     145.79       3.72   46632   1 chrome
     25    16.61      30.79       0.02   46696   1 chrome
     46   166.28     248.04       1.00   47236   1 chrome
     89   343.84     367.32       2.33   47352   1 chrome
     38    55.03     117.64       0.28   47604   1 chrome
     43    30.87      71.32       0.08   47988   1 chrome
     32    21.16      38.94       0.00   48476   1 chrome
     70   101.98      92.49       0.42   49104   1 chrome
      8     8.33       5.15       0.02    5356   0 conhost
     11     8.81       8.71       1.83    5708   0 conhost
     11     8.84       8.55       0.55    7188   0 conhost
     11     8.82       8.68       0.72    7652   0 conhost
     11     8.83       8.63       0.64   13352   0 conhost
     11     9.31       8.43       0.66   13424   0 conhost
     11     8.83       8.77       0.72   13508   0 conhost
     11     8.82       8.57       0.59   14164   0 conhost
     11     8.82       8.44       0.30   14276   0 conhost
      9     8.47      11.84       0.00   18928   1 conhost
     66    81.02      57.68      22.17   26684   1 CoreSync
      9     4.50       6.37       0.00    6804   0 CptService
     90    57.25      79.68      20.03   24192   1 Creative Cloud
     25    16.67      33.36       9.92   26516   1 Creative Cloud Helper
     24    23.47      29.53       2.38   12852   1 Creative Cloud UI Helper
     40   135.48      50.05       3.72   17000   1 Creative Cloud UI Helper
     19    12.97      18.89       0.23   24312   1 Creative Cloud UI Helper
     37   235.66      92.47      28.97   25588   1 Creative Cloud UI Helper
     85    26.85      75.90       0.94   24688   1 CrossDeviceService
     39     2.59       5.59       7.28    1608   0 csrss
     41     4.29       6.07      21.66    1752   1 csrss
     22    16.17      31.54       8.73   22480   1 ctfmon
      8     4.39       6.09       0.00   11496   0 dasHost
     16     9.82      21.11       0.06   30000   1 DataExchangeHost
     63    27.52      54.64       3.28    2660   0 DCCABIServer
     10     5.13       9.72       0.02    2932   0 DDVCollectorSvcApi
    126    69.12     104.34      11.64    3352   0 DDVDataCollector
     19    20.70      14.23       0.00   15548   0 DDVRulesProcessor
    147    69.14     142.06       5.27   14200   0 Dell.CoreServices.Client
    120   123.86      85.23      10.61   13984   0 Dell.D3.WinSvc
     70    56.21      43.70       0.56   14168   0 Dell.Optimizer.DthProxy
     92    46.24      71.03       0.91    6376   0 Dell.TechHub
    133    75.01     102.99       4.95   13436   0 Dell.TechHub.Analytics.SubAgent
    112    78.88     126.31      43.86   14252   0 Dell.TechHub.DataManager.SubAgent
    146    67.80     121.61       2.44   14244   0 Dell.TechHub.Diagnostics.SubAgent
    195   145.67     242.40      92.09   13504   0 Dell.TechHub.Instrumentation.SubAg…
    106    44.67     104.75       6.11   18776   1 Dell.TechHub.Instrumentation.UserP…
    205    44.65     154.07       5.00    6392   0 Dell.TrustedDevice.Service
     48    53.45      55.70     321.08   14220   0 Dell.Update.SubAgent
     99   139.84      97.14      11.45   14180   0 DellOptimizer
    135   182.77     113.45     206.95    2552   0 DellSupportAssistRemedationService
     59   158.51      33.55       8.17   29528   1 DFConsole
      8     4.29       5.41       0.00   11100   0 DFLocker64
     20    14.21      14.03       7.80    3196   0 DFServ
     35    35.16      14.29       2.84    6440   0 DFServerService
     25     7.33      16.91       0.25   13052   1 dllhost
      9     5.60       9.67       0.20   15968   1 dllhost
     50    95.11      65.42      25.52    3008   1 DPM
      8     4.40       4.88       0.00    7556   0 DPMCrashHandler
      9     4.61       6.29       0.00   17916   1 DPMCrashHandler
     31    20.24      36.40      35.73    6452   0 DPMService
    139 1,714.77     420.13     913.05    5664   1 dwm
    265   549.82     324.14     523.27   18388   1 explorer
     21    12.18      28.95       0.77   13168   1 FileCoAuth
     19     9.18      22.91       0.44   30108   0 FileSyncHelper
     16     6.43      11.33      11.69    6424   0 FNPLicensingService
     12    11.32      11.88       0.31    1944   1 fontdrvhost
      8     5.88       5.17       0.02    2000   0 fontdrvhost
     18    16.76      14.14      14.59   19736   1 FrzState2k
    192    15.61      24.68      48.31    3756   0 hmpalert
     16    18.05      16.46      29.59   15244   0 IDBWM
     15    18.45      15.79       0.30   14952   0 IDBWMService
